Timestamp,Temp_C,Hum_Pct,VPD_kPa,PPFD_umol
2026-05-09 21:00:18,27.8,28.1,2.686193062973442,0.0
2026-05-09 21:00:49,27.8,28.2,2.682457050368472,0.0
2026-05-09 21:01:19,27.8,28.2,2.682457050368472,0.0
2026-05-09 21:01:49,27.8,28.3,2.6787210377635016,0.0
2026-05-09 21:02:19,27.8,28.2,2.682457050368472,0.0
2026-05-09 21:02:50,27.8,28.2,2.682457050368472,0.0
2026-05-09 21:02:56,27.8,28.2,2.682457050368472,0.0
2026-05-09 21:03:26,27.8,28.2,2.682457050368472,0.0
2026-05-09 21:03:56,27.8,28.2,2.682457050368472,0.0
2026-05-09 21:04:26,27.8,28.3,2.6787210377635016,0.0
2026-05-09 21:04:42,27.8,28.3,2.6787210377635016,0.0
2026-05-09 21:05:12,27.8,28.3,2.6787210377635016,0.0
2026-05-09 21:05:42,27.8,28.3,2.6787210377635016,0.0
2026-05-09 21:06:13,27.8,28.3,2.6787210377635016,0.0
